title,description,year,type,rate_start,votes,status,followers,episodes,genders,url_anime,image
Dragon Ball Z Especial: Freezer contra el padre de Goku,"Los Saiyajin han trabajado muy duro para Freezer. Sin embargo, éste temía que algún día los Saiyajin se le rebelaran, y apareciera el Legendario Super Saiyajin. Bardock se fue con sus compañeros a conquistar el planeta Kanassa, en el cual a Bardock le dieron un golpe, el cual le permitía tener visiones del futuro, entre ellas una futura destrucción del planeta de su especie, así como de la vida y obra de su hijo Son Goku.",1990,OVA,4.3,218,Finalizado,1249,1,,https://www3.animeflv.net/anime/dragon-ball-z-especial-1,https://www3.animeflv.net/uploads/animes/covers/1115.jpg
Dragon Ball Z Pelicula 03: La batalla más grande del mundo esta por comenzar,"Una banda de desértores del ejército de Freezer capitaneada por el misterioso Tarles llega a la tierra con una semilla terrible. Una vez plantada, surge un árbol monstruoso que amenaza con absorver toda vida en el planeta...",1990,Película,3.9,173,Finalizado,1090,1,"Aventuras,Ciencia Ficción,Comedia,Fantasía,Shounen,",https://www3.animeflv.net/anime/dragon-ball-z-pelicula-3,https://www3.animeflv.net/uploads/animes/covers/1104.jpg
Lodoss-tou Senki,"La historia se centra de alrededor de un joven llamado Parn, el hijo de un deshonroso caballero. Parte de esta motivación de aventurarse es encontrar que pasó con su padre, y restaurar el honor de su familia. A pesar de su inexperiencia, Parn es considerado el lider, quien esta acompañado por su mejor amigo un niño del bosque llamado Etoh, su amigo y a veces aconsejante Slayn (y más tarde en la amante de Slayn, Leylia), y su recién mentor Ghim. Son acompañados por el interés romántico de Parn, la alta elfa Deedlit, quien viene del Bosque sin Retorno buscando una solución para el aislacionismo de su gente y un final para la extinción. A lo largo de la serie, Parn entra en contacto con sus amigos y con sus enemigos por igual. Sus aliados incluyendo el rey Kashue, Fahn, Shiris y Orson; sus enemigos incluyendo el emperador Beld, Ashram y el malvado necrofago Wagnard.",1990,Anime,4.4,95,Finalizado,734,13,"Acción,Aventuras,Fantasía,Magia,Shounen,Sobrenatural,",https://www3.animeflv.net/anime/lodoss-tou-senki,https://www3.animeflv.net/uploads/animes/covers/1355.jpg
Fushigi no Umi no Nadia,"La revolución industrial ha terminado y el mundo está siendo consumido por una nueva tecnología y nuevas máquinas. Un joven científico, Jean, ve a una guapísima chica de color mientras se encuentra en Francia, la sigue y termina metiéndose en problemas. Mientras tanto, una mujer y sus dos matones están tras el amuleto de la chica, llamado Piedra Azul. La chica, Nadia, escapa con Jean. De esta forma, los dos intentarán evitar que los malvados se apoderen del amuleto.",1990,Anime,4.5,99,Finalizado,841,39,"Aventuras,Ciencia Ficción,Comedia,Historico,Romance,",https://www3.animeflv.net/anime/fushigi-no-umi-no-nadia,https://www3.animeflv.net/uploads/animes/covers/2190.jpg
Dragon Ball Z Pelicula 02: El hombre más fuerte de este mundo,"La situación empieza con el doctor Uir?, quien es revivido por el doctor Cochin (su compañero) con ayuda de las Dragon Balls, debido a que el primero se encontraba cautivo en el hielo de las montañas Tsumisumbri. Ya que desde hacia varios años su cerebro sobrevivía en un cuerpo robótico decidió robar el cuerpo al hombre más fuerte del mundo, pero debido a estar todos estos años encerrado en el hielo el seguía pensando que este era Kame Sen'nin. Gok? y sus amigos van al laboratorio de los doctores con el objetivo de salvar a Kame Sen'nin, y al llegar se tendrán que enfrentar contra los robots más poderosos creados por la mente ambiciosa de los científicos.",1990,Película,4.1,124,Finalizado,1070,1,"Aventuras,Ciencia Ficción,Comedia,Fantasía,Shounen,",https://www3.animeflv.net/anime/dragon-ball-z-pelicula-2,https://www3.animeflv.net/uploads/animes/covers/1103.jpg
Umezu Kazuo no Noroi,"Dos Historias separadas. En la primera titulada ""Qué revelara la camara de video"", una estudiante de intercambio llega de México causando gran agitación en la vida de una compañera de clase llamada Masami. En la segunda historia titulada ""La mansion embrujada"", cuatro niñas en una aventura en una siniestra casa.
",1990,OVA,4.2,38,Finalizado,136,1,"Terror,",https://www3.animeflv.net/anime/umezu-kazuo-no-noroi,https://www3.animeflv.net/uploads/animes/covers/2299.jpg
1+2=Paradise,,1990,OVA,4.0,165,Finalizado,852,2,"Comedia,Ecchi,Harem,Romance,Seinen,",https://www3.animeflv.net/anime/1-2-paradise,https://www3.animeflv.net/uploads/animes/covers/2162.jpg
Ninja Ryukenden,"En una oscura noche en New York City, Ryu es atacado por unos asesinos. Después de deshacerse de ellos, encuentra una tarjeta de identificación de la Friedman Company. Al día siguiente, se anuncia que el Dr. Ned Friedman ha descubierto una cura para el cáncer. Pero después de no proporcionar ninguna información en su rueda de prensa, Sarah, una reportera, decide investigar con la ayuda de sus amigos Roberto y Jeff. Al pasar por la casa del Dr. Friedman un día, Ryu oye la voz de una muchacha joven que pide ayuda. Descubren que el Dr. Friedman ha estado realizando experimentos en seres humanos vivos usando la biotecnología, y que puede tener algo hacer con la energía de los dioses demonios, que Ryu había derrotado en el pasado. Pero cuando secuestran a su amiga Irene, Ryu debe recuperar su papel como dragón Ninja para derrotar a este nuevo enemigo y para salvarla..",1991,OVA,4.3,20,Finalizado,86,1,"Aventuras,Ciencia Ficción,Demonios,Drama,Shounen,Sobrenatural,Suspenso,",https://www3.animeflv.net/anime/ninja-ryukenden,https://www3.animeflv.net/uploads/animes/covers/426.jpg
Otaku no Video,"Kubo es la tipica persona a la que le agradaba estudiar, practicar deportes y salir con chicas. Un dia, su amigo Tanaka le propone asistir a su casa para poder ver unos vídeos. Es tal la impresión de Kubo al poder ver sus series favoritas, además de del hobbys de los amigos de Takana, que con el tiempo Kubo empezo a faltar a sus citas deportivas y deja de salir con chicas. Pero lo peor de todo es que se convierte en un ser antisocial que trata de dominar al mundo mediante las series de anime para convertirse en el Otaking y construir Otakulandia.
",1991,OVA,4.5,33,Finalizado,161,2,"Ciencia Ficción,Comedia,Drama,Historico,Magia,Mecha,",https://www3.animeflv.net/anime/otaku-no-video,https://www3.animeflv.net/uploads/animes/covers/2021.jpg
Urusei Yatsura Movie 6: Itsudatte My Darling,,1991,Película,4.1,39,Finalizado,164,1,"Acción,Aventuras,Ciencia Ficción,Comedia,Drama,Romance,",https://www3.animeflv.net/anime/urusei-yatsura-movie-6-itsudatte-my-darling,https://www3.animeflv.net/uploads/animes/covers/2214.jpg
